lamp_id,F3_gc_score,F3_tm_score,F3_delta_g_score,F3_hairpin_score,F2_gc_score,F2_tm_score,F2_delta_g_score,F2_hairpin_score,F1_gc_score,F1_tm_score,F1_delta_g_score,F1_hairpin_score,B1_gc_score,B1_tm_score,B1_delta_g_score,B1_hairpin_score,B2_gc_score,B2_tm_score,B2_delta_g_score,B2_hairpin_score,B3_gc_score,B3_tm_score,B3_delta_g_score,B3_hairpin_score,distance_score,dimer_score
NS00001,0.7,0.96,0,1.0,0.7,1,1,1.0,1.0,0.19,1,1.0,1.0,0,1,1.0,0,0,1,1.0,1.0,1.0,1,1.0,0.6,0.67
NS00002,0,0,1,1.0,0.7,0,1,1.0,0.7,0.98,1,1.0,1.0,1,1,1.0,0.7,0,1,1.0,0.7,0.93,1,1.0,0.8,0.67
NS00003,0.7,1.0,1,1.0,0,0,1,1.0,0.7,0.43,1,1.0,0,0,1,1.0,0,0,1,1.0,1.0,0.97,1,1.0,0.8,1.0
NS00004,0,0,1,0.5,0,0,1,0.5,0.7,0.63,1,1.0,0.7,0,1,1.0,0,0,1,1.0,0,0,1,0.5,0.6,0.67
NS00005,0,0,1,1.0,0.7,0.32,1,1.0,1.0,0.97,1,1.0,0,0,1,1.0,0.7,0.98,1,1.0,0,1,1,0.5,0.6,1.0
NS00006,1.0,0.76,1,1.0,0.7,0.59,1,1.0,0,0,1,0.5,0.7,0.87,1,1.0,0.7,0,1,1.0,0,0,1,1.0,0.8,0
NS00007,0.7,1,1,1.0,1.0,1,1,1.0,0.7,0,0,1.0,1.0,1,1,1.0,0,0.94,1,1.0,0.7,0.99,1,1.0,0.8,0.67
NS00008,0.7,0.99,1,0.5,0,0.95,1,1.0,0.7,0,1,1.0,0,1.0,1,1.0,0,1,0,1.0,0.7,0.98,1,1.0,0.0,1.0
NS00009,0.7,0.78,1,1.0,0,0,1,0.5,1.0,1,1,1.0,0,0.96,1,0.5,1.0,1,1,1.0,0.7,0.97,1,1.0,0.6,0
NS00010,1.0,1.0,1,1.0,1.0,0.98,1,1.0,0,0,1,1.0,1.0,0.23,1,1.0,0,0,1,1.0,1.0,0.56,1,1.0,0.6,0.67
NS00011,1.0,0,1,1.0,0,0,1,1.0,0,0,1,1.0,1.0,0,1,1.0,0.7,0,1,1.0,0,0,1,1.0,0.2,1.0
NS00012,1.0,1,1,1.0,0,0,1,1.0,0.7,0,1,1.0,0,0.1,1,1.0,1.0,0,1,1.0,0,0.77,1,1.0,0.4,1.0
NS00013,0,0,1,1.0,0,0,1,1.0,1.0,0.15,1,1.0,1.0,0,1,1.0,1.0,0,1,1.0,1.0,0.6,1,1.0,0.4,0.67
NS00014,1.0,0,1,1.0,0,0.92,1,1.0,1.0,1.0,1,0.5,0,0,0,1.0,1.0,1,1,1.0,1.0,1.0,1,1.0,0.2,1.0
NS00015,0.7,0,1,1.0,1.0,0.07,1,1.0,0,0,1,1.0,0.7,0.9,1,1.0,0.7,0,1,1.0,0.7,1.0,1,1.0,0.4,0.33
NS00016,0.7,0.64,1,1.0,0.7,0.87,1,1.0,0.7,0,1,0.5,1.0,1,1,1.0,0.7,1,1,0.5,0,0,1,1.0,0.4,0.67
NS00017,0.7,0.51,1,1.0,0.7,0.6,1,1.0,1.0,0,1,1.0,0.7,0.08,1,1.0,1.0,0.99,1,1.0,0.7,0.98,1,1.0,0.4,0.67
NS00018,0,0,1,1.0,0.7,1.0,1,1.0,1.0,0.92,1,1.0,1.0,1,1,1.0,0,0,1,0.5,0.7,0.53,1,0.5,0.8,0
NS00019,0,0,1,1.0,1.0,0,1,0.5,0.7,0.67,1,1.0,1.0,0.86,1,1.0,0.7,0,1,1.0,0,0,1,0.5,0.6,0
NS00020,0,0.65,1,1.0,0.7,1,1,1.0,0.7,0,1,0.5,0,0.49,1,1.0,0,0,1,1.0,0.7,0.84,1,1.0,0.8,0.67
NS00021,1.0,0,1,1.0,0,0.92,1,1.0,1.0,1,1,1.0,0.7,0.99,1,1.0,0.7,1.0,1,1.0,1.0,0.87,1,1.0,0.8,0.67
NS00022,0.7,0,1,1.0,1.0,0,1,1.0,0.7,0,1,1.0,1.0,0.51,1,1.0,0,0.96,1,0.5,1.0,0.96,1,1.0,0.8,1.0
NS00023,0,0,1,0.5,1.0,0.37,1,1.0,1.0,0.27,1,1.0,0.7,0.94,1,1.0,0.7,0.94,1,0.5,0,0.97,1,1.0,0.2,0
NS00024,1.0,0,1,1.0,1.0,0,1,1.0,0.7,0,1,0.5,1.0,1.0,1,1.0,0.7,1,1,0.5,1.0,0.26,1,1.0,0.6,1.0
NS00025,0.7,0.99,1,1.0,0,0,1,1.0,0.7,0.98,1,1.0,0.7,0,1,0.5,0,0,1,1.0,0.7,0.99,1,1.0,0.4,1.0
NS00026,0.7,0.98,1,1.0,1.0,1,1,1.0,0.7,0,1,1.0,0,1,1,1.0,1.0,0.98,1,1.0,1.0,1,1,1.0,0.2,0.67
NS00027,1.0,0,1,0.5,0.7,0.81,1,1.0,1.0,0.92,1,1.0,0,0.99,1,1.0,1.0,1.0,1,1.0,0.7,0.5,1,1.0,0.4,1.0
NS00028,1.0,0.98,1,1.0,0,1,1,1.0,0.7,0.68,1,0.5,0.7,1,1,1.0,0.7,0.76,1,0.5,1.0,0.96,1,1.0,0.2,0.67
