lamp_id,F3_gc_score,F3_tm_score,F3_delta_g_score,F3_hairpin_score,F2_gc_score,F2_tm_score,F2_delta_g_score,F2_hairpin_score,F1_gc_score,F1_tm_score,F1_delta_g_score,F1_hairpin_score,B1_gc_score,B1_tm_score,B1_delta_g_score,B1_hairpin_score,B2_gc_score,B2_tm_score,B2_delta_g_score,B2_hairpin_score,B3_gc_score,B3_tm_score,B3_delta_g_score,B3_hairpin_score,distance_score,dimer_score
LPB00001,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,0.58,1.0
LPB00002,0.7,1,1,1.0,0.7,0.99,1,1.0,0.7,0.49,1,1.0,0.7,0.73,1,1.0,1.0,1,1,1.0,0.7,1,1,0.5,0.68,1.0
LPB00003,0.7,0.29,1,1.0,0.7,0.32,1,1.0,1.0,0.43,1,1.0,1.0,0.43,1,0.5,1.0,0.12,1,1.0,0.7,0.02,1,1.0,0.63,1.0
LPB00004,1.0,0.06,1,1.0,1.0,0.97,1,0.5,0.7,0.62,1,1.0,1.0,0.79,1,0.5,0.7,0.5,1,1.0,0.7,0,1,1.0,0.43,1.0
LPB00005,0,0,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,0.7,1.0,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,0.82,1.0
LPB00006,1.0,0.54,1,1.0,0,0.19,1,1.0,0,0.48,1,1.0,0.7,0.6,1,1.0,0,0,1,1.0,0,0.52,1,1.0,0.65,1.0
LPB00007,1.0,0.54,1,1.0,0.7,0.86,1,1.0,0,0.48,1,1.0,0.7,0.6,1,1.0,0.7,0.41,1,1.0,0,0.52,1,1.0,0.65,1.0
LPB00008,1.0,1,1,1.0,0.7,0.04,1,0.5,1.0,1.0,1,0.5,0.7,0.69,1,1.0,1.0,0.97,1,1.0,1.0,1,1,1.0,0.48,0.67
LPB00009,0.7,0.75,1,1.0,0,0.87,1,1.0,0,0.54,1,0.5,1.0,0.74,1,1.0,1.0,0.5,1,0.5,0.7,0.43,1,1.0,0.48,1.0
LPB00010,0.7,1,1,0.5,0,0,1,1.0,0.7,0.36,1,0.5,0.7,0.29,1,1.0,0,0.11,1,1.0,1.0,0.83,1,1.0,0.56,1.0
LPB00011,0.7,0.81,1,0.5,0,0.02,1,0.5,0.7,0.35,0,0.5,0.7,0.43,1,1.0,0,0.42,1,1.0,1.0,0.67,1,1.0,0.4,1.0
LPB00013,1.0,1.0,1,1.0,0.7,0.98,1,1.0,0.7,0.0,1,0.5,0.7,0.26,1,1.0,0.7,0.86,1,1.0,0.7,1.0,1,1.0,0.54,0
LPB00016,1.0,0.54,1,1.0,0,0.19,1,1.0,0,0.48,1,1.0,0.7,0.6,1,1.0,0,0,1,1.0,0,0.52,1,1.0,0.65,1.0
LPB00017,1.0,0.52,1,1.0,0.7,0.52,1,1.0,0.7,0.84,1,0.5,1.0,0.92,1,1.0,0.7,0.64,1,1.0,0,0.6,1,0.5,0.59,1.0
LPB00018,0.7,0.43,1,1.0,0,0.95,1,0.5,0,0.36,1,1.0,1.0,0.91,1,1.0,0.7,0.79,1,1.0,0.7,0.82,1,1.0,0.68,1.0
LPB00021,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,0.7,1.0,1,1.0,0.37,1.0
LPB00022,0,0.72,1,0.5,1.0,0.91,1,1.0,0,0.43,1,0.5,0.7,0.88,1,1.0,0,0.64,1,1.0,1.0,0.74,1,1.0,0.54,0
LPB00023,0.7,0.37,1,1.0,0.7,0.7,1,1.0,0,0.43,1,0.5,0,0.57,1,1.0,0,0.54,1,1.0,0,0.43,1,1.0,0.37,1.0
LPB00026,0,0.39,1,1.0,0,0.52,1,1.0,0.7,0.41,1,1.0,1.0,0.81,1,0.5,1.0,0.9,1,1.0,1.0,0.81,1,1.0,0.53,1.0
LPB00035,0.7,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,0.91,1,1.0,1.0,1.0,1,1.0,1.0,1,1,1.0,0.8,1.0
LPB00038,0.7,0.49,1,1.0,0,0.9,1,1.0,1.0,0.86,1,0.5,1.0,1,1,1.0,0,0.51,1,1.0,0.7,0.5,1,1.0,0.58,1.0
LPB00039,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1.0,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,0.7,1,1,1.0,0.55,0
LPB00041,0,0.78,1,1.0,0,0.9,1,1.0,0.7,0.72,1,1.0,0.7,0,1,1.0,0,0.49,1,1.0,1.0,0.8,1,0.5,0.38,1.0
LPB00042,1.0,0.54,1,1.0,0,0.19,1,1.0,0,0.48,1,1.0,0.7,0.6,1,1.0,0,0,1,1.0,0,0.52,1,1.0,0.65,1.0
LPB00046,0.7,0.56,1,1.0,0.7,0.65,1,1.0,0.7,0.84,1,1.0,0,0,1,0.5,0.7,0.87,1,1.0,1.0,0.77,1,1.0,0.75,1.0
LPB00047,1.0,0.96,1,1.0,0.7,0.34,1,1.0,0,0.67,1,1.0,1.0,0.8,1,1.0,0.7,0.74,1,1.0,1.0,0.23,1,1.0,0.58,1.0
LPB00050,0.7,0.74,1,1.0,0.7,0.66,1,1.0,0.7,0.4,1,1.0,0.7,0.33,1,0.5,0.7,0.83,1,0.5,0.7,0.47,1,1.0,0.85,0.33
LPB00053,0,0.72,1,1.0,1.0,0.87,1,1.0,1.0,0.42,1,1.0,1.0,0.53,1,1.0,0.7,0.86,1,1.0,0.7,0.48,1,0.5,0.39,1.0
