lamp_id,F3_gc_score,F3_tm_score,F3_delta_g_score,F3_hairpin_score,F2_gc_score,F2_tm_score,F2_delta_g_score,F2_hairpin_score,F1_gc_score,F1_tm_score,F1_delta_g_score,F1_hairpin_score,B1_gc_score,B1_tm_score,B1_delta_g_score,B1_hairpin_score,B2_gc_score,B2_tm_score,B2_delta_g_score,B2_hairpin_score,B3_gc_score,B3_tm_score,B3_delta_g_score,B3_hairpin_score,distance_score,dimer_score
NS00001,0.5,0.24,1.0,2,2,0.57,0.5,2,0.36,0.98,0.5,2,1,0,1.0,1,1.92,0,1.0,2,1,0.39,0.5,2,3,1.0
NS00002,1,0,0.5,2,1,0.09,1.0,2,1,0,1.0,2,1,0,0.5,2,1,0.14,1.0,2,1.81,0,1.0,2,2,1.0
NS00003,2,1,1.0,2,1,1,1.0,2,0.32,0,1.0,1,1,1,1.0,2,1.88,0.88,1.0,2,2,0.16,1.0,1,2,1.0
NS00004,1,0,1.0,2,1.86,0,1.0,1,1,0,1.0,1,1,0,1.0,1,1,0.94,1.0,2,1,0,1.0,2,1,0.5
NS00005,1.9,0.99,1.0,2,1,1.0,1.0,2,1,0,0.5,2,1.99,0,1.0,2,1,0.66,1.0,2,1,0,0.5,2,4,0.5
NS00006,1,1,1.0,1,0.67,0,1.0,1,1,0,1.0,2,1.99,0,1.0,2,1,0.96,0.5,2,1,1,1.0,2,3,1.0
NS00007,1,0.95,0.5,2,1,0,1.0,1,2,0.64,1.0,2,1,0,1.0,2,1,0.37,1.0,2,1.77,0,1.0,2,3,1.0
NS00008,1,0.5,1.0,1,1,0.97,1.0,2,1.93,1,1.0,1,1.7,0.02,1.0,2,1,1,1.0,1,1,0.84,0.5,1,2,1.0
NS00009,1,0,0.5,2,1,0.86,0.5,1,2,0.56,1.0,2,1,0.74,1.0,2,1,0.67,1.0,2,2,0.96,1.0,2,2,0.5
NS00010,1,0,0.5,2,2,0.73,1.0,2,1,0,1.0,2,1,0.71,0.5,2,2,0.99,1.0,2,1,1,1.0,2,2,1.0
NS00011,1.78,0.65,1.0,2,1,0,1.0,2,1.86,0.68,1.0,2,2,0.48,0.5,1,1,0.86,0.5,2,1,0.33,1.0,2,2,1.0
NS00012,1,0.52,1.0,2,0.5,0.11,1.0,2,1,0,1.0,2,2,0.94,1.0,2,0.62,0.45,1.0,2,1,0,1.0,2,3,1.0
NS00013,1,1,1.0,2,1,1,1.0,2,1,0,1.0,2,1,0,1.0,2,1.7,0.49,1.0,2,2,0.35,1.0,2,2,1.0
NS00014,2,1,0.5,2,0.3,0,1.0,2,1.92,0.96,1.0,2,0.37,0.85,1.0,1,1,0.72,1.0,2,1,0.83,1.0,2,4,1.0
NS00015,1,0.43,1.0,2,1,0,1.0,1,1.77,1.0,1.0,2,1,1,1.0,2,1,1,1.0,2,0.67,0,1.0,2,2,1.0
NS00016,0.38,0,1.0,1,0.21,0.04,1.0,2,1,0,1.0,2,1,0,1.0,2,1,0.24,1.0,2,2,1,1.0,2,5,1.0
NS00017,1.86,0,1.0,2,0.43,0,1.0,2,1.9,0.9,1.0,2,1,0,1.0,2,1,0.71,1.0,2,1,1.0,1.0,2,2,0.5
NS00018,0.43,0,1.0,1,1,0.82,1.0,1,1.99,0.48,1.0,2,1.84,1.0,1.0,2,0.57,0.83,1.0,2,1,0.96,1.0,2,4,1.0
NS00019,1.77,0,1.0,2,0.57,0,1.0,2,1.7,0.18,1.0,2,1.88,0,1.0,2,1.81,0,1.0,2,1.77,0,1.0,2,4,1.0
NS00020,1,1,1.0,2,0.55,0,1.0,2,1,0.75,1.0,2,0.67,0.35,1.0,2,1.9,1.0,1.0,2,1,0,1.0,2,1,1.0
NS00021,1.99,1,1.0,2,1.77,0,1.0,2,1,0.72,1.0,2,1,0.48,1.0,1,1,0.53,1.0,2,1.84,0,1.0,2,2,1.0
NS00022,1.92,0.79,1.0,2,1,1,1.0,2,1,0.8,1.0,2,1,1,1.0,2,1,0.46,1.0,2,1.86,0,1.0,2,0,0.5
NS00023,0.49,0,1.0,1,0.49,0,1.0,2,0.32,0,1.0,2,0.49,0.65,1.0,2,1,1,1.0,2,1.78,0.95,1.0,2,4,0
NS00024,1.78,1,1.0,2,2,0.19,1.0,2,1.78,0.28,0.5,1,1.7,0.59,1.0,2,0.43,0,1.0,2,0.49,0,1.0,2,3,1.0
NS00025,1,0.97,1.0,2,1.81,0.01,1.0,2,1.74,1,1.0,2,2,0.74,1.0,2,1.88,0.9,1.0,2,2,0,1.0,1,2,1.0
NS00026,0.22,0,1.0,1,1,0.86,1.0,2,2,0,1.0,1,1.81,0.95,1.0,2,1.84,0.16,1.0,2,1,0.98,1.0,2,3,1.0
NS00027,1,0,0.5,2,1.86,0,1.0,2,0.54,0,1.0,1,2,0,1.0,2,1,1.0,1.0,2,0,0,1.0,1,3,0
NS00028,1.7,0,1.0,2,1.99,0.88,1.0,2,2,0.94,1.0,2,2,0,1.0,2,1,0.87,1.0,2,2,0.82,0.5,2,4,0.5
NS00029,1.7,0,1.0,1,1,1,1.0,2,1,0,1.0,2,2,1.0,1.0,2,0.5,0.76,1.0,2,2,0.26,1.0,2,3,1.0
